"Path","Name","Scripts","Dependencies"
"C:\Users\tommy\workspace\tee-time-brs\package.json","tee-time","backfill:titles,dev,migrate:v1toV2,normalize,start","cors,dotenv,express,express-rate-limit,mongoose,nodemaster,resend"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@mongodb-js\saslprep\package.json","@mongodb-js/saslprep","bootstrap,check,check-ci,compile,depcheck,eslint,gen-code-points,lint,prepublishOnly,prettier,reformat,test,test-ci,test-cov,test-watch,typecheck","sparse-bitfield"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@react-email\render\package.json","@react-email/render","build,clean,dev,test,test:watch","html-to-text,prettier,react-promise-suspense"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@selderee\plugin-htmlparser2\package.json","@selderee/plugin-htmlparser2","build,build:rollup,build:types,clean","domhandler,selderee"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@types\webidl-conversions\package.json","@types/webidl-conversions","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@types\whatwg-url\package.json","@types/whatwg-url","","@types/webidl-conversions"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\accepts\package.json","accepts","lint,test,test-ci,test-cov","mime-types,negotiator"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\anymatch\package.json","anymatch","mocha,test","normalize-path,picomatch"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\array-flatten\package.json","array-flatten","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\balanced-match\package.json","balanced-match","bench,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\binary-extensions\package.json","binary-extensions","test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\body-parser\package.json","body-parser","lint,test,test-ci,test-cov","bytes,content-type,debug,depd,destroy,http-errors,iconv-lite,on-finished,qs,raw-body,type-is,unpipe"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\brace-expansion\package.json","brace-expansion","bench,gentest,test","balanced-match,concat-map"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\braces\package.json","braces","benchmark,test","fill-range"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\package.json","bson","build,build:bench,build:bundle,build:dts,build:ts,check:baseline-bench,check:coverage,check:custom-bench,check:granular-bench,check:lint,check:node,check:spec-bench,check:tsd,check:web,check:web-no-bigint,format,prepare,pretest,release,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\vendor\base64\package.json","base-64","build,test",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\vendor\text-encoding\package.json","text-encoding","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bytes\package.json","bytes","lint,test,test-ci,test-cov",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\call-bind-apply-helpers\package.json","call-bind-apply-helpers","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","es-errors,function-bind"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\call-bound\package.json","call-bound","lint,postlint,posttest,postversion,prelint,prepack,prepublish,prepublishOnly,pretest,test,tests-only,version","call-bind-apply-helpers,get-intrinsic"
