"Path","Name","Scripts","Dependencies","DevDependencies","Framework"
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@mongodb-js\saslprep\package.json","@mongodb-js/saslprep","gen-code-points,bootstrap,prepublishOnly,compile,typecheck,eslint,prettier,lint,depcheck,check,check-ci,test,test-cov,test-watch,test-ci,reformat","sparse-bitfield","@mongodb-js/eslint-config-devtools,@mongodb-js/mocha-config-devtools,@mongodb-js/prettier-config-devtools,@mongodb-js/tsconfig-devtools,@types/chai,@types/mocha,@types/node,@types/sinon-chai,@types/sparse-bitfield,chai,depcheck,eslint,gen-esm-wrapper,mocha,nyc,prettier,sinon,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@react-email\render\package.json","@react-email/render","build,clean,dev,test,test:watch","html-to-text,prettier,react-promise-suspense","@edge-runtime/vm,@types/html-to-text,@types/prettier,@types/react,@types/react-dom,jsdom,tsup,typescript,tsconfig",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@selderee\plugin-htmlparser2\package.json","@selderee/plugin-htmlparser2","build:rollup,build:types,build,clean","domhandler,selderee","htmlparser2",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@types\webidl-conversions\package.json","@types/webidl-conversions","","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\@types\whatwg-url\package.json","@types/whatwg-url","","@types/webidl-conversions","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\accepts\package.json","accepts","lint,test,test-ci,test-cov","mime-types,negotiator","deep-equal,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\anymatch\package.json","anymatch","test,mocha","normalize-path,picomatch","mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\array-flatten\package.json","array-flatten","test","","istanbul,mocha,pre-commit,standard",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\balanced-match\package.json","balanced-match","test,bench","","matcha,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\binary-extensions\package.json","binary-extensions","test","","ava,tsd,xo",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\body-parser\package.json","body-parser","lint,test,test-ci,test-cov","bytes,content-type,debug,depd,destroy,http-errors,iconv-lite,on-finished,qs,raw-body,type-is,unpipe","eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,methods,mocha,nyc,safe-buffer,supertest",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\brace-expansion\package.json","brace-expansion","test,gentest,bench","balanced-match,concat-map","matcha,tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\braces\package.json","braces","test,benchmark","fill-range","ansi-colors,bash-path,gulp-format-md,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\package.json","bson","pretest,test,check:node,check:tsd,check:web,check:web-no-bigint,check:granular-bench,check:spec-bench,check:custom-bench,check:baseline-bench,build:bench,build:ts,build:dts,build:bundle,build,check:lint,format,check:coverage,prepare,release","","@istanbuljs/nyc-config-typescript,@microsoft/api-extractor,@rollup/plugin-node-resolve,@rollup/plugin-typescript,@types/chai,@types/mocha,@types/node,@types/sinon,@types/sinon-chai,@typescript-eslint/eslint-plugin,@typescript-eslint/parser,benchmark,chai,chalk,dbx-js-tools,eslint,eslint-config-prettier,eslint-plugin-no-bigint-usage,eslint-plugin-prettier,eslint-plugin-tsdoc,magic-string,mocha,node-fetch,nyc,prettier,rollup,sinon,sinon-chai,source-map-support,tar,ts-node,tsd,typescript,typescript-cached-transpile,uuid",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\vendor\base64\package.json","base-64","test,build","","coveralls,grunt,grunt-cli,grunt-shell,grunt-template,istanbul,mocha,regenerate",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bson\vendor\text-encoding\package.json","text-encoding","","","",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\bytes\package.json","bytes","lint,test,test-ci,test-cov","","eslint,eslint-plugin-markdown,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\call-bind-apply-helpers\package.json","call-bind-apply-helpers","prepack,prepublish,prepublishOnly,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","es-errors,function-bind","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/for-each,@types/function-bind,@types/object-inspect,@types/tape,auto-changelog,encoding,es-value-fixtures,eslint,evalmd,for-each,has-strict-mode,in-publish,npmignore,nyc,object-inspect,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\call-bound\package.json","call-bound","prepack,prepublish,prepublishOnly,prelint,lint,postlint,pretest,tests-only,test,posttest,version,postversion","call-bind-apply-helpers,get-intrinsic","@arethetypeswrong/cli,@ljharb/eslint-config,@ljharb/tsconfig,@types/call-bind,@types/get-intrinsic,@types/tape,auto-changelog,encoding,es-value-fixtures,eslint,evalmd,for-each,gopd,has-strict-mode,in-publish,npmignore,nyc,object-inspect,safe-publish-latest,tape,typescript",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\chokidar\package.json","chokidar","dtslint,lint,build,mocha,test","anymatch,braces,glob-parent,is-binary-path,is-glob,normalize-path,readdirp","@types/node,chai,dtslint,eslint,mocha,rimraf,sinon,sinon-chai,typescript,upath",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\concat-map\package.json","concat-map","test","","tape",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\content-disposition\package.json","content-disposition","lint,test,test-ci,test-cov","safe-buffer","deep-equal,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-markdown,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,istanbul,mocha",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\content-type\package.json","content-type","lint,test,test-ci,test-cov,version","","deep-equal,eslint,eslint-config-standard,eslint-plugin-import,eslint-plugin-node,eslint-plugin-promise,eslint-plugin-standard,mocha,nyc",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cookie\package.json","cookie","bench,lint,test,test-ci,test-cov,update-bench","","beautify-benchmark,benchmark,eslint,eslint-plugin-markdown,mocha,nyc,safe-buffer,top-sites",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cookie-signature\package.json","cookie-signature","test","","mocha,should",""
"C:\Users\tommy\workspace\tee-time-brs\node_modules\cors\package.json","cors","test,lint","object-assign,vary","after,eslint,express,mocha,nyc,supertest","express"
